교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
응달말교,양주시,B,18,3,37.778931,127.05603
입암교,양주시,B,30,3,37.890974,126.994683
정자교,양주시,B,24,3,37.695525,126.929753
제1광사교,양주시,B,23,3,37.774345,127.047201
청담교,양주시,C,23,3,37.823072,127.069809
청담천1교,양주시,B,6,2,37.818355,127.07571
회천-무명6교,양주시,B,28,3,37.827448,127.041683
효촌교,양주시,B,19,3,37.869545,126.958192
광사리1교,양주시,B,25,3,37.803958,127.083781
중리1교,포천시,B,28,기타,38.099903,127.207789
신북대교,포천시,C,39,2,37.927022,127.221856
기산교,포천시,B,14,3,37.936564,127.338514
청계교,포천시,B,14,기타,37.951854,127.327041
진군교(구교),포천시,E,53,2,38.017277,127.154492
진군교(신교),포천시,E,33,2,38.017219,127.154575
선단3교,포천시,B,5,2,37.86139,127.1528
선단4교,포천시,B,5,2,37.860803,127.15667
청안교,여주시,C,37,기타,37.199546,127.660821
연양육교,여주시,B,24,기타,37.281014,127.667298
간매교,여주시,C,28,3,37.285702,127.691696
무촌교,여주시,B,25,3,37.394992,127.604608
여주대교,여주시,B,27,1,37.295554,127.647335
율촌교,여주시,B,38,기타,37.376117,127.592726
본두교,여주시,B,34,3,37.229552,127.565724
전천교,여주시,A,14,기타,37.202478,127.54783
안금천교,여주시,B,6,기타,37.229603,127.565775
세종대교,여주시,B,16,1,37.302037,127.61757
(구)남한강교,여주시,B,52,1,37.254614,127.680415
대광교,연천군,C,38,2,38.14801,127.095785
고탄교(구),연천군,B,31,2,38.031148,127.077588
사랑교,연천군,C,36,2,38.008441,127.055433
와천교,연천군,B,32,3,37.997657,127.030761
양원교,연천군,B,32,3,37.994078,127.023177
고탄교(신),연천군,B,21,2,38.031357,127.075004
양원2교,연천군,B,23,3,37.991768,127.023815
양원3교,연천군,B,23,3,37.978833,127.032399
백학교,연천군,B,27,3,38.030532,126.915907
가북교,가평군,B,28,2,37.87608,127.527271
감천교(대곡과선교),가평군,B,12,1,37.77137,127.458778
마일교,가평군,B,30,3,37.838955,127.364578
세월교,가평군,B,14,기타,37.898813,127.345727
승마교,가평군,C,51,기타,37.828549,127.348505
다원교,가평군,B,25,2,37.755022,127.403948
(구)산장1교,가평군,E,37,기타,37.754327,127.410412
고려시리카 진입교량,가평군,C,20,기타,37.864804,127.504831
산장1교,가평군,B,5,2,37.755404,127.41092
산장2교,가평군,E,32,기타,37.754586,127.417282
개곡교,가평군,B,27,2,37.863612,127.529074
오류동교,가평군,C,33,3,37.690183,127.368018
구반계교,가평군,B,23,3,37.805636,127.355111
어비1교,가평군,B,26,3,37.599279,127.494743
어비2교,가평군,B,26,3,37.592565,127.512082
가일1교,가평군,B,32,3,37.596632,127.491153
광악1교,가평군,C,35,3,37.949759,127.534473
노체2교,가평군,B,27,3,37.876159,127.356183
대리교,가평군,C,29,3,37.58831,127.510452
대보교,가평군,B,23,2,37.794633,127.370164
도대2교,가평군,C,33,3,37.950388,127.479302
동면교,가평군,C,24,3,37.621963,127.515322
맴내교,가평군,B,21,3,37.914039,127.564603
멱골교,가평군,B,16,3,37.901447,127.568038
명장1교,가평군,B,20,3,37.666386,127.482284
물곡교,가평군,C,33,3,37.82864,127.319116
반계교B,가평군,B,26,3,37.799491,127.350424
봉수교B,가평군,B,25,3,37.856664,127.289252
상구벌교,가평군,B,16,3,37.821881,127.335103
상촌교B,가평군,B,28,3,37.644682,127.503239
상판교,가평군,B,27,3,37.906215,127.379575
새터교,가평군,B,25,3,37.764857,127.389376
샘골다리교,가평군,B,25,3,37.60749,127.492282
선촌2교,가평군,B,16,3,37.681315,127.485953
소설교,가평군,B,25,3,37.616947,127.525291
약수교,가평군,C,27,3,37.907814,127.573217
양방교B,가평군,B,21,3,37.625069,127.496177
양지교,가평군,C,23,3,37.943824,127.575044
엄소교,가평군,B,32,3,37.650583,127.493955
연인교,가평군,B,22,3,37.902818,127.457569
엽광교,가평군,B,41,2,37.847182,127.506062
오류동2교,남양주시,B,29,3,37.693057,127.3655
오목교,가평군,D,41,3,37.917941,127.495628
용수교,가평군,D,35,3,37.987201,127.437267
운악교,가평군,B,29,3,37.865283,127.349759
원흥교,가평군,B,18,3,37.820846,127.324377
유답촌교,가평군,C,33,3,37.758134,127.43696
유명산1교,가평군,B,16,3,37.594431,127.490909
임초교B,가평군,B,17,3,37.77132,127.375654
임초교C,가평군,C,27,3,37.768758,127.370365
임초소교,가평군,B,27,3,37.767608,127.370694
장수교,가평군,C,27,3,37.773125,127.363954
적목교,가평군,C,24,3,37.968363,127.457186
점말교,가평군,B,17,3,37.973833,127.449846
제령교,가평군,B,35,3,37.894679,127.529737
조가터교,가평군,B,20,3,37.766849,127.393412
중감천교,가평군,B,25,3,37.772275,127.451816
진양1교,가평군,D,53,3,37.804288,127.487748
진양교,가평군,B,18,3,37.809069,127.474875
창의교,가평군,B,27,3,37.668752,127.506986
천나드리교,가평군,C,19,3,37.830295,127.484717
천리교,가평군,B,31,3,37.901764,127.462944
청용교,가평군,B,31,3,37.934535,127.569129
추곡교,가평군,B,35,3,37.857856,127.354382
평묵교,가평군,B,25,3,37.89645,127.566943
평촌교,가평군,B,21,3,37.621224,127.495798
행자교,가평군,B,23,3,37.765313,127.446846
화악2교,가평군,B,27,3,37.933857,127.555852
화악교A,가평군,B,23,3,37.920756,127.566661
화악교B,가평군,C,33,3,37.952794,127.531243
화약교,가평군,B,23,3,37.775447,127.355494
칠락교,가평군,A,47,3,37.803946,127.493493
진동교,가평군,A,23,3,37.803862,127.493248
양근교,양평군,B,42,3,37.495438,127.48494
가내교,양평군,B,19,기타,37.440263,127.768612
구신론교,양평군,B,21,3,37.570807,127.744276
금곡교,양평군,B,32,2,37.502585,127.618565
금왕1교,양평군,B,25,3,37.482581,127.732374
노문1교,양평군,B,19,3,37.640815,127.431453
노문2교,양평군,C,26,3,37.638955,127.426426
다문3교,양평군,C,27,기타,37.497029,127.579646
다문새마을,양평군,C,27,3,37.494055,127.58904
대월교,양평군,B,24,기타,37.429237,127.765887
도곡교,양평군,B,16,기타,37.480578,127.501065
도원교,양평군,B,30,3,37.557199,127.787583
둔말교,양평군,B,45,3,37.449933,127.768979
명달교,양평군,B,26,기타,37.622208,127.448099
부용교,양평군,B,19,3,37.556402,127.358602
무심교,양평군,B,33,3,37.435645,127.738956
백현교,양평군,C,32,3,37.528433,127.474895
삼산교,양평군,B,24,3,37.40189,127.770902
새말교,양평군,C,33,3,37.459327,127.770435
수능1교,양평군,B,27,3,37.596926,127.378115
수능2교,양평군,B,23,3,37.597537,127.381651
수능교,양평군,B,32,3,37.582467,127.389459
신점2교,양평군,B,25,3,37.543361,127.585496
신점교,양평군,C,32,3,37.537337,127.590237
여물교,양평군,C,29,3,37.555084,127.707886
연다교,양평군,B,25,3,37.494719,127.585475
연수1교,양평군,B,18,3,37.523293,127.55867
연수교,양평군,B,20,3,37.509082,127.565501
연안교,양평군,B,15,3,37.527791,127.557796
오촌교,양평군,B,26,3,37.528638,127.603114
옥천교,양평군,B,29,3,37.513521,127.450239
용담교,양평군,B,28,3,37.548399,127.333982
용두교,양평군,B,26,3,37.552119,127.706839
용천교,양평군,C,29,기타,37.527387,127.489346
원덕교,양평군,B,32,2,37.467247,127.541074
원산삼교,양평군,B,24,3,37.413817,127.761612
월리교,양평군,B,19,3,37.460692,127.737007
월산1교,양평군,B,21,3,37.492294,127.639583
이천교,양평군,B,22,3,37.39319,127.780988
점촌교,양평군,B,29,3,37.532992,127.59388
지산4교,양평군,B,26,3,37.411904,127.687432
창대교,양평군,B,16,기타,37.481507,127.501998
청운교,양평군,B,31,2,37.544782,127.700108
통골2교,양평군,B,29,3,37.562217,127.704606
통골교,양평군,B,19,3,37.564181,127.704203
단석교,양평군,B,35,기타,37.400813,127.718045
세월2교,양평군,C,39,기타,37.436939,127.495008
쌍학교,양평군,B,54,기타,37.416501,127.754372
석불과선교,양평군,B,11,1,37.461798,127.653921
선바위교,양평군,B,9,2,37.520862,127.678281
무명1교,양평군,C,33,3,37.537986,127.616156
