교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
송전1교,3,경기도,용인시 처인구,39.0,19.5,4,라멘교,B,DB-24,19,3.0,15.0,27169.0
송전육교,3,경기도,용인시 처인구,90.0,19.5,4,PSCI거더교,B,DB-24,19,3.0,30.0,27169.0
비룡1교,기타,경기도,용인시 처인구,12.0,19.5,4,RC슬래브교,B,DB-24,19,1.0,12.0,30166.0
비룡2교,2,경기도,용인시 처인구,120.0,19.5,4,PSCI거더교,B,DB-24,19,4.0,30.0,30166.0
시미육교,3,경기도,용인시 처인구,90.0,19.5,4,PSCI거더교,B,DB-24,19,3.0,30.0,30166.0
원덕성교,기타,경기도,용인시 처인구,12.0,19.5,4,RC슬래브교,B,DB-24,19,1.0,12.0,30166.0
덕성1교,2,경기도,용인시 처인구,120.0,19.5,4,PSCI거더교,B,DB-24,19,4.0,30.0,30166.0
덕성육교,3,경기도,용인시 처인구,90.0,19.5,4,PSCI거더교,B,DB-24,19,3.0,30.0,30166.0
덕성2교,2,경기도,용인시 처인구,390.0,19.5,4,PSCI거더교,B,DB-24,19,13.0,30.0,30166.0
원천육교,2,경기도,용인시 처인구,270.0,18.5,4,PSCI거더교,B,DB-24,19,9.0,30.0,37511.0
원천교,3,경기도,용인시 처인구,39.0,19.5,4,라멘교,B,DB-24,19,3.0,15.0,37511.0
원촌교,2,경기도,용인시 처인구,210.0,19.5,4,PSCI거더교,B,DB-24,19,7.0,30.0,37511.0
개월3교,기타,경기도,화성시,12.0,13.0,3,라멘교,B,DB-24,20,1.0,12.0,4927.0
청용교,1,경기도,안성시,255.0,19.5,4,강박스거더교,B,DB-24,18,5.0,55.0,19409.0
칠곡교,2,경기도,안성시,270.0,19.5,4,PSCI거더교,B,DB-24,18,9.0,30.0,19409.0
동항교,2,경기도,안성시,420.0,19.5,4,PSCI거더교,B,DB-24,18,14.0,30.0,17117.0
양성교(상),2,경기도,안성시,240.0,13.3,3,PSCI거더교,B,DB-24,18,8.0,30.0,17117.0
양성교(하),2,경기도,안성시,240.0,13.3,3,PSCI거더교,B,DB-24,18,8.0,30.0,17117.0
도곡2교,2,경기도,안성시,120.0,19.5,4,PSCI거더교,B,DB-24,18,4.0,30.0,17117.0
고덕교,2,경기도,평택시,50.0,21.5,4,강박스거더교,B,DB-24,18,1.0,50.0,22263.0
궁논교,기타,경기도,평택시,15.0,27.5,6,라멘교,B,DB-24,18,1.0,15.0,22263.0
방축교,기타,경기도,평택시,15.0,27.5,6,라멘교,B,DB-24,18,1.0,15.0,22263.0
칠곡1교,기타,경기도,안성시,15.0,29.7,4,라멘교,B,DB-24,18,1.0,15.0,21819.0
양성1교,3,경기도,안성시,40.0,23.0,5,강박스거더교,B,DB-24,18,1.0,40.0,17117.0
도곡교(상),3,경기도,안성시,70.0,13.8,3,RC슬래브교,B,DB-24,18,5.0,15.0,17117.0
도곡교(하),3,경기도,안성시,70.0,9.7,2,RC슬래브교,B,DB-24,18,5.0,15.0,17117.0
도곡1교,3,경기도,안성시,30.0,19.5,4,PSCI거더교,B,DB-24,18,1.0,30.0,17117.0
이현교,기타,경기도,안성시,15.0,19.5,4,라멘교,B,DB-24,18,1.0,15.0,17117.0
구장1교,2,경기도,화성시,120.0,21.0,4,PSCI거더교,B,DB-24,18,4.0,30.0,22627.0
구장3교,2,경기도,화성시,120.0,21.0,4,PSCI거더교,B,DB-24,18,4.0,30.0,22627.0
가재육교,3,경기도,화성시,45.0,29.0,4,프리플렉스거더교,B,DB-24,18,1.0,45.0,17934.0
구장2교,3,경기도,화성시,60.0,21.0,4,PSCI거더교,B,DB-24,18,2.0,30.0,22627.0
남양대교,1,경기도,화성시,1230.0,21.0,4,강박스거더교,B,DB-24,18,21.0,60.0,8701.0
향산2교(상),2,경기도,김포시,210.0,13.9,3,PSCI거더교,B,DB-24,17,7.0,30.0,44004.0
향산1교,3,경기도,김포시,30.0,27.9,6,라멘교,B,DB-24,17,2.0,15.0,44004.0
고촌교,3,경기도,김포시,30.0,27.9,6,라멘교,A,DB-24,17,2.0,15.0,44004.0
향산2교(하),2,경기도,김포시,210.0,13.9,3,PSCI거더교,B,DB-24,17,7.0,30.0,44004.0
영릉육교,1,경기도,여주시,330.0,7.5,1,강박스거더교,B,DB-24,16,8.0,50.0,17619.0
영릉2교(상),2,경기도,여주시,58.2,14.5,3,강박스거더교,B,DB-24,16,1.0,58.2,17619.0
영릉2교(하),2,경기도,여주시,58.2,14.5,3,강박스거더교,B,DB-24,16,1.0,58.2,17619.0
월송육교,기타,경기도,여주시,40.0,7.0,1,PSCI거더교,B,DB-24,16,1.0,40.1,17619.0
영릉1교,기타,경기도,여주시,15.0,34.1,6,라멘교,B,DB-24,16,1.0,15.0,17619.0
영릉IC교,기타,경기도,여주시,30.3,21.0,4,PSCI거더교,B,DB-24,16,1.0,30.3,17619.0
영릉3교,기타,경기도,여주시,30.1,21.0,4,PSCI거더교,B,DB-24,16,1.0,30.1,17619.0
가산IC교,기타,경기도,여주시,35.0,21.0,4,PSCI거더교,B,DB-24,16,1.0,35.0,6186.0
가산교,기타,경기도,여주시,80.0,25.0,5,강박스거더교,B,DB-24,16,2.0,40.0,6186.0
금의교,3,경기도,화성시,30.0,21.0,4,PSCI거더교,B,DB-24,15,1.0,30.0,18130.0
석포1교,기타,경기도,화성시,15.0,21.0,4,라멘교,B,DB-24,15,1.0,15.0,18130.0
석포2교,3,경기도,화성시,45.0,28.0,6,강박스거더교,B,DB-24,15,1.0,45.0,18130.0
석포3교,3,경기도,화성시,30.0,23.0,4,PSCI거더교,B,DB-24,15,1.0,30.0,20461.0
서근교,3,경기도,화성시,30.0,21.0,4,PSCI거더교,B,DB-24,15,1.0,30.0,20461.0
덕우1교,기타,경기도,화성시,15.0,21.0,4,라멘교,B,DB-24,15,1.0,15.0,20461.0
덕우2교,3,경기도,화성시,30.0,31.6,4,PSCI거더교,C,DB-24,15,1.0,30.0,20461.0
덕천교,3,경기도,화성시,30.0,21.0,4,PSCI거더교,B,DB-24,15,1.0,30.0,20461.0
동방대교,2,경기도,화성시,432.0,21.0,4,강박스거더교,B,DB-24,15,9.0,48.0,20461.0
율암교,3,경기도,화성시,30.0,30.0,6,프리플렉스거더교,B,DB-24,15,1.0,30.0,22627.0
율암1교,3,경기도,화성시,45.0,8.0,1,프리플렉스거더교,B,DB-24,15,1.0,45.0,22627.0
율암2교,3,경기도,화성시,35.0,8.0,1,프리플렉스거더교,B,DB-24,15,1.0,35.0,22627.0
멱우1교,기타,경기도,화성시,30.4,32.0,6,PSCI거더교,B,DB-24,15,1.0,30.4,10789.0
멱우교,2,경기도,화성시,284.0,21.0,4,강박스거더교,B,DB-24,15,6.0,49.0,10789.0
조암교,2,경기도,화성시,100.0,28.0,6,강박스거더교,B,DB-24,15,3.0,40.0,10789.0
봉화교,기타,경기도,화성시,30.3,32.0,6,PSCI거더교,B,DB-24,15,1.0,30.3,10789.0
상봉육교,기타,경기도,용인시 처인구,30.0,19.5,4,PSCI거더교,B,DB-24,13,1.0,30.1,10203.0
기산1교(상),2,경기도,화성시,105.0,15.2,3,강박스거더교,B,DB-24,15,3.0,45.0,26803.0
기산1교(하),2,경기도,화성시,115.0,14.0,3,강박스거더교,B,DB-24,15,3.0,45.0,26803.0
기산2교,기타,경기도,화성시,15.0,21.0,6,라멘교,B,DB-24,15,1.0,15.0,26803.0
한반교,기타,경기도,화성시,43.0,28.0,8,강박스거더교,B,DB-24,15,1.0,43.0,26803.0
김포아라대교,1,경기도,김포시,550.0,38.7,8,아치교,A,DB-24,12,5.0,170.0,44004.0
가재교,기타,경기도,화성시,15.0,30.8,6,라멘교,A,DB-24,9,2.0,15.0,17934.0
하가등천교,기타,경기도,화성시,15.0,20.9,6,라멘교,A,DB-24,9,1.0,15.0,17934.0
도이교,기타,경기도,화성시,30.1,28.9,4,PSCI거더교,A,DB-24,9,1.0,30.1,17934.0
도이IC교(행정IC교),기타,경기도,화성시,80.1,35.4,7,프리플렉스거더교,A,DB-24,9,2.0,40.1,17934.0
도이IC램프A교(행정IC램프A교),1,경기도,화성시,290.0,7.9,1,강박스거더교,B,DB-24,9,6.0,55.0,17934.0
행정교,기타,경기도,화성시,40.1,20.9,4,프리플렉스거더교,B,DB-24,9,1.0,40.1,17934.0
자치울교(2+760라멘교),기타,경기도,화성시,12.0,20.9,4,라멘교,A,DB-24,9,1.0,12.0,17934.0
방축교,기타,경기도,화성시,30.1,20.9,4,PSCI거더교,A,DB-24,9,1.0,30.1,11070.0
향남IC교,2,경기도,화성시,50.1,20.9,4,프리플렉스거더교,B,DB-24,9,1.0,50.1,11070.0
향남교,기타,경기도,화성시,50.0,20.9,4,강박스거더교,A,DB-24,9,1.0,50.0,11070.0
요당교,기타,경기도,화성시,30.4,20.9,4,PSCI거더교,A,DB-24,9,1.0,30.4,11070.0
요당IC 1교,기타,경기도,화성시,11.8,25.0,5,라멘교,A,DB-24,9,1.0,11.8,11070.0
요당IC 육교,기타,경기도,화성시,25.3,65.0,4,라멘교,A,DB-24,9,1.0,25.3,11070.0
요당IC 2교,기타,경기도,화성시,10.0,29.3,6,라멘교,A,DB-24,9,1.0,10.1,11070.0
요당IC RAMP-A교,1,경기도,화성시,480.3,10.5,2,강박스거더교,B,DB-24,9,8.0,70.0,11070.0
요당IC Ramp-B교,기타,경기도,화성시,11.3,20.8,2,라멘교,A,DB-24,9,1.0,11.3,11070.0
황구지천교(상),1,경기도,화성시,340.0,17.1,4,강박스거더교,B,DB-24,10,6.0,60.0,26803.0
황구지천교(하),1,경기도,화성시,350.0,17.7,4,강박스거더교,B,DB-24,10,6.0,65.0,26803.0
진안1육교(상),1,경기도,화성시,267.5,17.9,4,강박스거더교,B,DB-24,10,5.0,70.0,26803.0
진안1육교(하),1,경기도,화성시,235.0,17.1,4,강박스거더교,B,DB-24,10,4.0,72.5,26803.0
대쌍교(상),1,경기도,광주시,320.0,14.3,3,PSC박스거더교,B,DB-24,10,6.0,55.0,40914.0
대쌍교(하),1,경기도,광주시,330.0,14.3,3,PSC박스거더교,B,DB-24,10,7.0,55.0,40914.0
쌍동IC교(상),1,경기도,광주시,160.0,14.0,3,강박스거더교,B,DB-24,10,3.0,60.0,40914.0
쌍동IC교(하),1,경기도,광주시,160.0,14.0,3,강박스거더교,B,DB-24,10,3.0,60.0,40914.0
쌍동IC RAMP-B교,1,경기도,광주시,130.0,8.0,1,강박스거더교,B,DB-24,10,3.0,50.0,40914.0
