교량명,시설물종별등급구분,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수
오천교차1교,기타,경기도,이천시,37.254504,127.362648,37.254504,127.3629,12.0,11.0,2,RC슬래브교,B,DB-24,19
오천교차2교,기타,경기도,이천시,37.254634,127.362631,37.254656,127.362883,12.0,11.0,2,RC슬래브교,B,DB-24,19
이치1교,3,경기도,이천시,37.254525,127.380106,37.254444,127.381055,80.0,19.5,4,PSCI거더교,B,DB-24,19
이치2교,3,경기도,이천시,37.254136,127.385012,37.254119,127.385535,40.0,19.5,4,PSCI거더교,B,DB-24,19
도드람교차교,3,경기도,이천시,37.254287,127.389867,37.254344,127.390342,30.0,19.5,4,PSCI거더교,A,DB-24,19
설서교,3,경기도,이천시,37.25565,127.402315,37.255605,127.402624,28.0,19.5,4,RC슬래브교,B,DB-24,19
유산교차교,3,경기도,이천시,37.245482,127.44,37.245614,127.440328,30.0,19.5,4,PSCI거더교,B,DB-24,19
유산1교,3,경기도,이천시,37.248507,127.445159,37.248752,127.445505,30.0,19.5,4,PSCI거더교,B,DB-24,19
유산2교,2,경기도,이천시,37.249784,127.446942,37.251261,127.449034,240.0,19.5,4,PSCI거더교,B,DB-24,19
복하IC교,2,경기도,이천시,37.265618,127.462287,37.266523,127.463016,120.0,23.4,4,PSCI거더교,B,DB-24,19
장서육교,3,경기도,안성시,37.107406,127.218519,37.108311,127.218481,90.0,19.5,4,PSCI거더교,B,DB-24,19
이동교(상),2,경기도,안성시,37.109895,127.2181,37.110849,127.217413,120.0,17.3,4,PSCI거더교,B,DB-24,19
이동교(하),2,경기도,안성시,37.109846,127.217919,37.110768,127.217249,120.0,17.3,4,PSCI거더교,B,DB-24,19
묘봉교(상),2,경기도,용인시 처인구,37.122334,127.213502,37.12402,127.213575,180.0,9.8,2,PSCI거더교,B,DB-24,19
묘봉교(하),2,경기도,용인시 처인구,37.122366,127.21339,37.12403,127.213473,180.0,9.8,2,PSCI거더교,B,DB-24,19
묘봉육교,3,경기도,용인시 처인구,37.1267,127.213325,37.126967,127.213309,30.0,19.5,4,PSCI거더교,B,DB-24,19
요덕교,2,경기도,용인시 처인구,37.135722,127.210594,37.136724,127.209438,150.0,19.5,4,PSCI거더교,B,DB-24,19
송전1교,3,경기도,용인시 처인구,37.143455,127.201285,37.143908,127.201097,39.0,19.5,4,라멘교,B,DB-24,19
송전육교,3,경기도,용인시 처인구,37.145071,127.200929,37.145877,127.201039,90.0,19.5,4,PSCI거더교,B,DB-24,19
비룡1교,기타,경기도,용인시 처인구,37.15324,127.204837,37.153423,127.204899,12.0,19.5,4,RC슬래브교,B,DB-24,19
비룡2교,2,경기도,용인시 처인구,37.154595,127.205333,37.155634,127.205717,120.0,19.5,4,PSCI거더교,B,DB-24,19
시미육교,3,경기도,용인시 처인구,37.16058,127.206492,37.161392,127.20641,90.0,19.5,4,PSCI거더교,B,DB-24,19
원덕성교,기타,경기도,용인시 처인구,37.166743,127.205245,37.166921,127.205196,12.0,19.5,4,RC슬래브교,B,DB-24,19
덕성1교,2,경기도,용인시 처인구,37.174459,127.203536,37.175517,127.203303,120.0,19.5,4,PSCI거더교,B,DB-24,19
덕성육교,3,경기도,용인시 처인구,37.178724,127.202845,37.179532,127.202757,90.0,19.5,4,PSCI거더교,B,DB-24,19
덕성2교,2,경기도,용인시 처인구,37.182636,127.202397,37.186219,127.20159,390.0,19.5,4,PSCI거더교,B,DB-24,19
원천육교,2,경기도,용인시 처인구,37.19476,127.199678,37.197123,127.200375,270.0,18.5,4,PSCI거더교,B,DB-24,19
원천교,3,경기도,용인시 처인구,37.195769,127.199617,37.196149,127.199668,39.0,19.5,4,라멘교,B,DB-24,19
원촌교,2,경기도,용인시 처인구,37.204686,127.202758,37.206513,127.203391,210.0,19.5,4,PSCI거더교,B,DB-24,19
개월3교,기타,경기도,화성시,37.088565,126.942286,37.088678,126.942275,12.0,13.0,3,라멘교,B,DB-24,20
청용교,1,경기도,안성시,37.033162,127.138817,37.034092,127.141569,255.0,19.5,4,강박스거더교,B,DB-24,18
칠곡교,2,경기도,안성시,37.041575,127.15439,37.043474,127.156215,270.0,19.5,4,PSCI거더교,B,DB-24,18
동항교,2,경기도,안성시,37.070489,127.19048,37.070848,127.195308,420.0,19.5,4,PSCI거더교,B,DB-24,18
양성교(상),2,경기도,안성시,37.071236,127.200949,37.071465,127.203776,240.0,13.3,3,PSCI거더교,B,DB-24,18
양성교(하),2,경기도,안성시,37.071357,127.200876,37.071575,127.203698,240.0,13.3,3,PSCI거더교,B,DB-24,18
도곡2교,2,경기도,안성시,37.086113,127.209803,37.087187,127.209805,120.0,19.5,4,PSCI거더교,B,DB-24,18
고덕교,2,경기도,평택시,37.009423,127.043447,37.009836,127.043817,50.0,21.5,4,강박스거더교,B,DB-24,18
궁논교,기타,경기도,평택시,37.013112,127.046694,37.01332,127.046881,15.0,27.5,6,라멘교,B,DB-24,18
방축교,기타,경기도,평택시,37.014508,127.047887,37.014789,127.048174,15.0,27.5,6,라멘교,B,DB-24,18
칠곡1교,기타,경기도,안성시,37.053099,127.163763,37.053258,127.163843,15.0,29.7,4,라멘교,B,DB-24,18
양성1교,3,경기도,안성시,37.072208,127.207382,37.072405,127.207854,40.0,23.0,5,강박스거더교,B,DB-24,18
도곡교(상),3,경기도,안성시,37.073242,127.209207,37.073719,127.209733,70.0,13.8,3,RC슬래브교,B,DB-24,18
도곡교(하),3,경기도,안성시,37.073304,127.209199,37.073789,127.209703,70.0,9.7,2,RC슬래브교,B,DB-24,18
도곡1교,3,경기도,안성시,37.078407,127.210888,37.078681,127.210853,30.0,19.5,4,PSCI거더교,B,DB-24,18
이현교,기타,경기도,안성시,37.090064,127.210807,37.09022,127.210922,15.0,19.5,4,라멘교,B,DB-24,18
구장1교,2,경기도,화성시,37.156974,126.909774,37.156649,126.911115,120.0,21.0,4,PSCI거더교,B,DB-24,18
구장3교,2,경기도,화성시,37.156589,126.897994,37.156998,126.899413,120.0,21.0,4,PSCI거더교,B,DB-24,18
가재육교,3,경기도,화성시,37.149031,126.921867,37.1488,126.922312,45.0,29.0,4,프리플렉스거더교,B,DB-24,18
구장2교,3,경기도,화성시,37.157556,126.901391,37.157783,126.902163,60.0,21.0,4,PSCI거더교,B,DB-24,18
남양대교,1,경기도,화성시,37.009571,126.817523,37.019217,126.8107,1230.0,21.0,4,강박스거더교,B,DB-24,18
향산2교(상),2,경기도,김포시,37.621575,126.738711,37.620012,126.74003,210.0,13.9,3,PSCI거더교,B,DB-24,17
향산1교,3,경기도,김포시,37.622907,126.737427,37.623122,126.737237,30.0,27.9,6,라멘교,B,DB-24,17
고촌교,3,경기도,김포시,37.63163,126.728989,37.631413,126.729413,30.0,27.9,6,라멘교,A,DB-24,17
향산2교(하),2,경기도,김포시,37.621438,126.73862,37.619875,126.73995,210.0,13.9,3,PSCI거더교,B,DB-24,17
영릉육교,1,경기도,여주시,37.29644,127.615019,37.298343,127.612739,330.0,7.5,1,강박스거더교,B,DB-24,16
영릉2교(상),2,경기도,여주시,37.300044,127.616358,37.300562,127.61669,58.2,14.5,3,강박스거더교,B,DB-24,16
영릉2교(하),2,경기도,여주시,37.300029,127.616186,37.300532,127.616513,58.2,14.5,3,강박스거더교,B,DB-24,16
월송육교,기타,경기도,여주시,37.288965,127.615321,37.289125,127.61593,40.0,7.0,1,PSCI거더교,B,DB-24,16
영릉1교,기타,경기도,여주시,37.299555,127.615965,37.299702,127.616053,15.0,34.1,6,라멘교,B,DB-24,16
영릉IC교,기타,경기도,여주시,37.297536,127.614779,37.297775,127.614908,30.3,21.0,4,PSCI거더교,B,DB-24,16
영릉3교,기타,경기도,여주시,37.301304,127.617067,37.301545,127.617227,30.1,21.0,4,PSCI거더교,B,DB-24,16
가산IC교,기타,경기도,여주시,37.344419,127.619112,37.344632,127.618819,35.0,21.0,4,PSCI거더교,B,DB-24,16
